"customerID","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","Churn","Tenure_Group","Calculated total","Variance","Churn_Value","Churn_Numeric","predict_prob","predict_churn"
"6865-JZNKO","Female",0,"No","No",30,"Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",55.3,1530.6,"No","2-4 Years",1659,0.0838886711093689,"0",0,0.164907393772378,0
"6467-CHFZW","Male",0,"Yes","Yes",47,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",99.35,4749.15,"Yes","2-4 Years",4669.45,0.0167819504542918,"1",1,0.248221720529345,0
"8665-UTDHZ","Male",0,"Yes","Yes",1,"No","No phone service","DSL","No","Yes","No","No","No","No","Month-to-month","No","Electronic check",30.2,30.2,"Yes","0-1 Year",30.2,0,"1",1,0.299022642819951,0
"5248-YGIJN","Male",0,"Yes","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",90.25,6369.45,"No","4+ Years",6498,0.0201822763346914,"0",0,0.0582081659206036,0
"8773-HHUOZ","Female",0,"No","Yes",17,"Yes","No","DSL","No","No","No","No","Yes","Yes","Month-to-month","Yes","Mailed check",64.7,1093.1,"Yes","1-2 Years",1099.9,0.00622083981337497,"1",1,0.354987085014065,0
"3841-NFECX","Female",1,"Yes","No",71,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","No","Two year","Yes","Credit card (automatic)",96.35,6766.95,"No","4+ Years",6840.85,0.0109207249942736,"0",0,0.0739221986109021,0
"4929-XIHVW","Male",1,"Yes","No",2,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",95.5,181.65,"No","0-1 Year",191,0.0514726121662538,"0",0,0.775947721042387,1
"6827-IEAUQ","Female",0,"Yes","Yes",27,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","No","One year","No","Mailed check",66.15,1874.45,"No","2-4 Years",1786.05,0.0471605004134545,"0",0,0.249755168158021,0
"7310-EGVHZ","Male",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Bank transfer (automatic)",20.2,20.2,"No","0-1 Year",20.2,0,"0",0,0.234857253413566,0
"3413-BMNZE","Male",1,"No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",45.25,45.25,"No","0-1 Year",45.25,0,"0",0,0.411778425502736,0
"6234-RAAPL","Female",0,"Yes","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","No","Two year","No","Bank transfer (automatic)",99.9,7251.7,"No","4+ Years",7192.8,0.00812223340733892,"0",0,0.0782655328262529,0
"6047-YHPVI","Male",0,"No","No",5,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.7,316.9,"Yes","0-1 Year",348.5,0.0997159987377722,"1",1,0.556734353789117,1
"6572-ADKRS","Female",0,"No","No",46,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Credit card (automatic)",74.8,3548.3,"No","2-4 Years",3440.8,0.03029619817941,"0",0,0.134576805804171,0
"5380-WJKOV","Male",0,"No","No",34,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",106.35,3549.25,"Yes","2-4 Years",3615.9,0.0187786152003943,"1",1,0.459553519187046,0
"8168-UQWWF","Female",0,"No","No",11,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",97.85,1105.4,"Yes","0-1 Year",1076.35,0.0262800796091914,"1",1,0.695115083423208,1
"8865-TNMNX","Male",0,"Yes","Yes",10,"Yes","No","DSL","No","Yes","No","No","No","No","One year","No","Mailed check",49.55,475.7,"No","0-1 Year",495.5,0.0416228715577045,"0",0,0.329488147934953,0
"9489-DEDVP","Female",0,"Yes","Yes",70,"Yes","Yes","DSL","Yes","Yes","No","No","Yes","No","Two year","Yes","Credit card (automatic)",69.2,4872.35,"No","4+ Years",4844,0.00581854751813814,"0",0,0.0333595374419058,0
"9867-JCZSP","Female",0,"Yes","Yes",17,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",20.75,418.25,"No","1-2 Years",352.75,0.156604901374776,"0",0,0.114689749321456,0
"4671-VJLCL","Female",0,"No","No",63,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","No","Two year","Yes","Credit card (automatic)",79.85,4861.45,"No","4+ Years",5030.55,0.0347838607822768,"0",0,0.0671920663512293,0
"4080-IIARD","Female",0,"Yes","No",13,"Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","No","Month-to-month","Yes","Electronic check",76.2,981.45,"No","1-2 Years",990.6,0.0093229405471496,"0",0,0.500372447720444,1
"3714-NTNFO","Female",0,"No","No",49,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",84.5,3906.7,"No","4+ Years",4140.5,0.0598459057516575,"0",0,0.153557769677751,0
"5948-UJZLF","Male",0,"No","No",2,"Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","No","Mailed check",49.25,97,"No","0-1 Year",98.5,0.0154639175257732,"0",0,0.430450754472063,0
"7760-OYPDY","Female",0,"No","No",2,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",80.65,144.15,"Yes","0-1 Year",161.3,0.118973291710024,"1",1,0.679930040280713,1
"7639-LIAYI","Male",0,"No","No",52,"Yes","Yes","DSL","Yes","No","No","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",79.75,4217.8,"No","4+ Years",4147,0.016786002181232,"0",0,0.116249405341251,0
"2954-PIBKO","Female",0,"Yes","Yes",69,"Yes","Yes","DSL","Yes","No","Yes","Yes","No","No","Two year","Yes","Credit card (automatic)",64.15,4254.1,"No","4+ Years",4426.35,0.0404903504854141,"0",0,0.0299549668188879,0
"8012-SOUDQ","Female",1,"No","No",43,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",90.25,3838.75,"No","2-4 Years",3880.75,0.0109410615434712,"0",0,0.233716298584188,0
"9420-LOJKX","Female",0,"No","No",15,"Yes","No","Fiber optic","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",99.1,1426.4,"Yes","1-2 Years",1486.5,0.0421340437464946,"1",1,0.655906044350487,1
"6575-SUVOI","Female",1,"Yes","No",25,"Yes","Yes","DSL","Yes","No","No","Yes","Yes","No","Month-to-month","Yes","Credit card (automatic)",69.5,1752.65,"No","2-4 Years",1737.5,0.00864405329073123,"0",0,0.293266914353437,0
"7495-OOKFY","Female",1,"Yes","No",8,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",80.65,633.3,"Yes","0-1 Year",645.2,0.0187904626559294,"1",1,0.604243568734384,1
"4667-QONEA","Female",1,"Yes","Yes",60,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","Yes","One year","Yes","Credit card (automatic)",74.85,4456.35,"No","4+ Years",4491,0.00777542158941727,"0",0,0.0672279159482612,0
"1658-BYGOY","Male",1,"No","No",18,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95.45,1752.55,"Yes","1-2 Years",1718.1,0.0196570711249321,"1",1,0.589000505874331,1
"8769-KKTPH","Female",0,"Yes","Yes",63,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","One year","Yes","Credit card (automatic)",99.65,6311.2,"No","4+ Years",6277.95,0.00526841171251095,"0",0,0.121428653010392,0
"5067-XJQFU","Male",1,"Yes","Yes",66,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Electronic check",108.45,7076.35,"No","4+ Years",7157.7,0.0114960396249478,"0",0,0.135348529601169,0
"3957-SQXML","Female",0,"Yes","Yes",34,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",24.95,894.3,"No","2-4 Years",848.3,0.0514368780051437,"0",0,0.0551356951912184,0
"5954-BDFSG","Female",0,"No","No",72,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",107.5,7853.7,"No","4+ Years",7740,0.0144772527598457,"0",0,0.0983217558478066,0
"0434-CSFON","Female",0,"Yes","No",47,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",100.5,4707.1,"No","2-4 Years",4723.5,0.00348409848951576,"0",0,0.255351871881162,0
"1215-FIGMP","Male",0,"No","No",60,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",89.9,5450.7,"No","4+ Years",5394,0.0104023336452198,"0",0,0.105766383350305,0
"0526-SXDJP","Male",0,"Yes","No",72,"No","No phone service","DSL","Yes","Yes","Yes","No","No","No","Two year","No","Bank transfer (automatic)",42.1,2962,"No","4+ Years",3031.2,0.023362592842674,"0",0,0.0125115690854184,0
"0557-ASKVU","Female",0,"Yes","Yes",18,"Yes","No","DSL","No","No","Yes","Yes","No","No","One year","Yes","Credit card (automatic)",54.4,957.1,"No","1-2 Years",979.2,0.0230905861456482,"0",0,0.270667950071352,0
"5698-BQJOH","Female",0,"No","No",9,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Electronic check",94.4,857.25,"Yes","0-1 Year",849.6,0.00892388451443567,"1",1,0.694381605676572,1
"5122-CYFXA","Female",0,"No","No",3,"Yes","No","DSL","No","Yes","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",75.3,244.1,"No","0-1 Year",225.9,0.074559606718558,"0",0,0.627690426292687,1
"8627-ZYGSZ","Male",0,"Yes","No",47,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","One year","Yes","Electronic check",78.9,3650.35,"No","2-4 Years",3708.3,0.0158751900502692,"0",0,0.144156713488983,0
"3410-YOQBQ","Female",0,"No","No",31,"Yes","No","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Mailed check",79.2,2497.2,"No","2-4 Years",2455.2,0.0168188370975491,"0",0,0.290988622584268,0
"3170-NMYVV","Female",0,"Yes","Yes",50,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",20.15,930.9,"No","4+ Years",1007.5,0.0822859598238263,"0",0,0.0202339768485828,0
"7410-OIEDU","Male",0,"No","No",10,"Yes","No","Fiber optic","Yes","No","Yes","No","No","No","Month-to-month","Yes","Mailed check",79.85,887.35,"No","0-1 Year",798.5,0.100129599368907,"0",0,0.571202140120326,1
"2273-QCKXA","Male",0,"No","No",1,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","No","Mailed check",49.05,49.05,"No","0-1 Year",49.05,0,"0",0,0.442369864165143,0
"0731-EBJQB","Female",0,"Yes","Yes",52,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Electronic check",20.4,1090.65,"No","4+ Years",1060.8,0.0273690001375328,"0",0,0.0183102735092133,0
"1891-QRQSA","Male",1,"Yes","Yes",64,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",111.6,7099,"No","4+ Years",7142.4,0.00611353711790388,"0",0,0.162368839400211,0
"8028-PNXHQ","Male",0,"Yes","Yes",62,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Bank transfer (automatic)",24.25,1424.6,"No","4+ Years",1503.5,0.055383967429454,"0",0,0.0120620970907646,0
"5630-AHZIL","Female",0,"No","Yes",3,"Yes","No","DSL","Yes","No","No","Yes","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",64.5,177.4,"No","0-1 Year",193.5,0.0907553551296505,"0",0,0.541619204531612,1
"2673-CXQEU","Female",1,"No","No",56,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","One year","No","Electronic check",110.5,6139.5,"No","4+ Years",6188,0.00789966609658767,"0",0,0.225037268250228,0
"6416-JNVRK","Female",0,"No","No",46,"Yes","No","DSL","No","No","No","No","No","Yes","One year","No","Credit card (automatic)",55.65,2688.85,"No","2-4 Years",2559.9,0.0479573051676367,"0",0,0.0764658102243203,0
"5590-ZSKRV","Female",0,"Yes","Yes",8,"Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","No","Mailed check",54.65,482.25,"No","0-1 Year",437.2,0.0934162778641784,"0",0,0.39351639382129,0
"0191-ZHSKZ","Male",1,"No","No",30,"Yes","No","DSL","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",74.75,2111.3,"No","2-4 Years",2242.5,0.0621418083645147,"0",0,0.272494297134162,0
"3887-PBQAO","Female",0,"Yes","Yes",45,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Credit card (automatic)",25.9,1216.6,"No","2-4 Years",1165.5,0.0420023014959723,"0",0,0.0318153091286845,0
"5919-TMRGD","Female",0,"No","Yes",1,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",79.35,79.35,"Yes","0-1 Year",79.35,0,"1",1,0.682591925442366,1
"8108-UXRQN","Female",0,"Yes","Yes",11,"No","No phone service","DSL","Yes","No","No","No","Yes","Yes","Month-to-month","No","Electronic check",50.55,565.35,"No","0-1 Year",556.05,0.0164499867338818,"0",0,0.324617092989981,0
"9191-MYQKX","Female",0,"Yes","No",7,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",75.15,496.9,"Yes","0-1 Year",526.05,0.0586637150332061,"1",1,0.57375867762181,1
"9919-YLNNG","Female",0,"No","No",42,"Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",103.8,4327.5,"No","2-4 Years",4359.6,0.00741767764298081,"0",0,0.334827613365377,0
"0318-ZOPWS","Female",0,"Yes","No",49,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Bank transfer (automatic)",20.15,973.35,"No","4+ Years",987.35,0.014383315354189,"0",0,0.0213545359349768,0
"4445-ZJNMU","Male",0,"No","No",9,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",99.3,918.75,"No","0-1 Year",893.7,0.0272653061224491,"0",0,0.727496406721225,1
"4808-YNLEU","Female",0,"Yes","No",35,"Yes","No","DSL","Yes","No","No","No","Yes","No","One year","Yes","Bank transfer (automatic)",62.15,2215.45,"No","2-4 Years",2175.25,0.0181452977950303,"0",0,0.158166723848583,0
"1862-QRWPE","Female",0,"Yes","Yes",48,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",20.65,1057,"No","2-4 Years",991.2,0.0622516556291391,"0",0,0.0229010864403454,0
"2796-NNUFI","Female",0,"Yes","Yes",46,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Mailed check",19.95,927.1,"No","2-4 Years",917.7,0.0101391435659585,"0",0,0.024932078030965,0
"3016-KSVCP","Male",0,"Yes","No",29,"No","No phone service","DSL","No","No","No","No","Yes","No","Month-to-month","No","Mailed check",33.75,1009.25,"No","2-4 Years",978.75,0.0302204607381719,"0",0,0.0930977565744078,0
"4767-HZZHQ","Male",0,"Yes","Yes",30,"Yes","No","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","No","Bank transfer (automatic)",82.05,2570.2,"No","2-4 Years",2461.5,0.0422924286047778,"0",0,0.322623651862316,0
"2424-WVHPL","Male",1,"No","No",1,"Yes","No","Fiber optic","No","No","No","Yes","No","No","Month-to-month","No","Electronic check",74.7,74.7,"No","0-1 Year",74.7,0,"0",0,0.648548332686155,1
"7233-PAHHL","Male",0,"Yes","Yes",66,"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Mailed check",84,5714.25,"No","4+ Years",5544,0.0297939362121013,"0",0,0.0654247286800212,0
"6067-NGCEU","Female",0,"No","No",65,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",111.05,7107,"No","4+ Years",7218.25,0.015653580976502,"0",0,0.152664412320632,0
"9848-JQJTX","Male",0,"No","No",72,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)",100.9,7459.05,"No","4+ Years",7264.8,0.0260421903593621,"0",0,0.080673065524871,0
"8637-XJIVR","Female",0,"No","No",12,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check",78.95,927.35,"Yes","0-1 Year",947.4,0.021620747290667,"1",1,0.536695246280265,1
"9803-FTJCG","Male",0,"Yes","Yes",71,"Yes","Yes","DSL","Yes","Yes","No","Yes","No","No","One year","Yes","Credit card (automatic)",66.85,4748.7,"No","4+ Years",4746.35,0.000494872280834831,"0",0,0.0293443041831676,0
"0278-YXOOG","Male",0,"No","No",5,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",21.05,113.85,"Yes","0-1 Year",105.25,0.0755379885814668,"1",1,0.202088837570216,0
"3212-KXOCR","Male",0,"No","No",52,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",21,1107.2,"No","4+ Years",1092,0.013728323699422,"0",0,0.0186686356387592,0
"4598-XLKNJ","Female",1,"Yes","No",25,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",98.5,2514.5,"Yes","2-4 Years",2462.5,0.020680055677073,"1",1,0.518716741725307,1
"6380-ARCEH","Male",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.2,20.2,"No","0-1 Year",20.2,0,"0",0,0.234857253413566,0
"3679-XASPY","Female",0,"Yes","Yes",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Electronic check",19.45,19.45,"No","0-1 Year",19.45,0,"0",0,0.230450510056683,0
"7123-WQUHX","Male",0,"No","No",38,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","No","One year","No","Bank transfer (automatic)",95,3605.6,"No","2-4 Years",3610,0.00122032394053697,"0",0,0.319540994305084,0
"5386-THSLQ","Female",1,"Yes","No",66,"No","No phone service","DSL","No","Yes","Yes","No","Yes","No","One year","No","Bank transfer (automatic)",45.55,3027.25,"No","4+ Years",3006.3,0.00692047237591883,"0",0,0.0193658184342684,0
"3192-NQECA","Male",0,"Yes","No",68,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",110,7611.85,"Yes","4+ Years",7480,0.0173216760708632,"1",1,0.128582653679068,0
"6180-YBIQI","Male",0,"No","No",5,"No","No phone service","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",24.3,100.2,"No","0-1 Year",121.5,0.212574850299401,"0",0,0.21988730913398,0
"6728-DKUCO","Female",0,"Yes","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes","One year","Yes","Electronic check",104.15,7303.05,"No","4+ Years",7498.8,0.0268038696161193,"0",0,0.0889705039562062,0
"9750-BOOHV","Female",0,"No","No",32,"No","No phone service","DSL","Yes","No","No","No","No","No","One year","No","Mailed check",30.15,927.65,"No","2-4 Years",964.8,0.0400474316822077,"0",0,0.0717570970701439,0
"8597-CWYHH","Male",0,"No","No",43,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","One year","No","Mailed check",94.35,3921.3,"No","2-4 Years",4057.05,0.0346186213755641,"0",0,0.258744954150486,0
"2848-YXSMW","Male",0,"Yes","Yes",72,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",19.4,1363.25,"No","4+ Years",1396.8,0.0246103062534384,"0",0,0.00596637129544671,0
"0486-HECZI","Male",0,"Yes","No",55,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",96.75,5238.9,"Yes","4+ Years",5321.25,0.0157189486342554,"1",1,0.163275635391918,0
"4549-ZDQYY","Female",0,"No","No",52,"Yes","No","DSL","Yes","No","Yes","Yes","No","No","One year","No","Credit card (automatic)",57.95,3042.25,"No","4+ Years",3013.4,0.00948311282767685,"0",0,0.0603165520099888,0
"5712-AHQNN","Female",0,"No","No",43,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","No","Month-to-month","Yes","Electronic check",91.65,3954.1,"No","2-4 Years",3940.95,0.00332566197111849,"0",0,0.242069551721656,0
"4846-WHAFZ","Female",1,"Yes","No",37,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",76.5,2868.15,"Yes","2-4 Years",2830.5,0.0131269285079233,"1",1,0.212533046818002,0
